"id","institutionCode","eventDate","year","recordedBy","goodQualityAccessURI","associatedSpecimenReference","draw"
195881,"OBI","1965-08-25",1965,"Lewis S. Rose","https://api.idigbio.org/v2/media/3981370672ff2e3f1b76f36e12972d6f?size=webview","https://www.cch2.org/portal/collections/individual/index.php?occid=195881",0
1463191,"UCR","1975-09-27",1975,"C.W. Tilforth","https://api.idigbio.org/v2/media/339bad60f0e2652bf8d4fffbf318e13e?size=webview","https://www.cch2.org/portal/collections/individual/index.php?occid=1463191",0
1401521,"DAV","1980-12-11",1980,"Peter Rubtzoff","https://bisque.cyverse.org/image_service/image/00-ZtuAXgufYrMchqfXNRQ6vd/resize:1250/format:jpeg","https://www.cch2.org/portal/collections/individual/index.php?occid=1401521",0
1894579,"UCSB","1968-07-28",1968,"Glen Olson","https://api.idigbio.org/v2/media/5287a9f275ef37f4b7c6c39a55e0ba08?size=webview","https://www.cch2.org/portal/collections/individual/index.php?occid=1894579",0
195878,"OBI","1981-05-17",1981,"Julie Oxford","https://api.idigbio.org/v2/media/14427bd63a5acc1769766f00f94a71a9?size=webview","https://www.cch2.org/portal/collections/individual/index.php?occid=195878",0
195871,"OBI","1992-07-07",1992,"Arthur W. Hazebrook","https://api.idigbio.org/v2/media/d1186ec23aa2dd5be27a322562076fd5?size=webview","https://www.cch2.org/portal/collections/individual/index.php?occid=195871",0
1363280,"DAV","1986-04-11",1986,"Frederica Bowcutt","https://bisque.cyverse.org/image_service/image/00-KLeJCwxEAzHjr4ZwyPQhXC/resize:1250/format:jpeg","https://www.cch2.org/portal/collections/individual/index.php?occid=1363280",0
3141044,"FSC","1966-05-13",1966,"B. E. Deuel","https://api.idigbio.org/v2/media/65664c84a2abf7b2490d638f1882e273?size=webview","https://www.cch2.org/portal/collections/individual/index.php?occid=3141044",0
2085323,"CHSC","1997-04-19",1997,"Colby J. Boggs","https://bisque.cyverse.org/image_service/image/00-jYKBPCfc3TFbBDgG5Yf8eT/resize:1250/format:jpeg","https://www.cch2.org/portal/collections/individual/index.php?occid=2085323",0
2042393,"SRP","1973-7-23",1973,"R. Thompson",NA,NA,0
1713907,"WWB","1964-6-19",1964,"J. S. Martin",NA,NA,0
195876,"OBI","1991-10-26",1991,"David J. Keil","https://api.idigbio.org/v2/media/ef3cd80793a2e50982bdf886f10d409d?size=webview","https://www.cch2.org/portal/collections/individual/index.php?occid=195876",0
3424965,"WTU","2018-7-20",2018,"Walter Fertig",NA,NA,1
614527,"SFV","1963-05-05",1963,"J. Turner","https://api.idigbio.org/v2/media/978733c4f770d911d23bef14787d5cb7?size=webview","https://www.cch2.org/portal/collections/individual/index.php?occid=614527",2
2137941,"CHSC","1972-05-14",1972,"Georgia Mason","https://bisque.cyverse.org/image_service/image/00-zaywBSaRZf34bQeVDZHtQJ/resize:1250/format:jpeg","https://www.cch2.org/portal/collections/individual/index.php?occid=2137941",3
1363297,"DAV","1996-04-14",1996,"D. Sanchez-Mata","https://bisque.cyverse.org/image_service/image/00-dC56c3rc7grCicHXg6THU7/resize:1250/format:jpeg","https://www.cch2.org/portal/collections/individual/index.php?occid=1363297",4
1448603,"UCR","1957-07-01",1957,"John C. Roos","https://api.idigbio.org/v2/media/287ecfd8c5286b3a23f8ae7a80c4f6ea?size=webview","https://www.cch2.org/portal/collections/individual/index.php?occid=1448603",5
2252923,"SOC","1972-5-14",1972,"Georgia Mason",NA,NA,6
1363285,"DAV","1955-07-26",1955,"B. Crampton","https://bisque.cyverse.org/image_service/image/00-nqcuUQhGmJABqQmiJKTccE/resize:1250/format:jpeg","https://www.cch2.org/portal/collections/individual/index.php?occid=1363285",7
3621120,"OBI","2019-05-20",2019,"Reed Kenny","https://api.idigbio.org/v2/media/0f997d6057c20f9aa8f9faf725859473?size=webview","https://www.cch2.org/portal/collections/individual/index.php?occid=3621120",8
